,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
33,[ 10 215 119],[161 119 215],[ 10 215 119],[ 89 206 119],[ 89  90 119],[ 10 161 215],[215  89 259],[215  89 259],[ 10 119 215],[ 10 215 119],[ 10 215 119],[ 10 215 119],119,True,True,True,True,True,False,False,False,True,True,True,True
34,[215 107  95],[ 95 215 107],[229 107  95],[229 244 107],[271  90 215],[107 215  95],[ 22  95 229],[ 22 229  95],[244 107  95],[215 107  95],[215 107  95],[215 107  95],244,False,False,False,True,False,False,False,False,True,False,False,False
35,[221 120 260],[221 120 260],[221 120 260],[271 120 199],[ 89  90 120],[236 221 260],[120 221 260],[236 221 260],[221 120 260],[221 120 260],[221 120 260],[221 120 260],120,True,True,True,True,True,False,True,False,True,True,True,True
36,[244 260  95],[244  95 260],[208  95 260],[143  95 244],[271  91 140],[ 95 208 260],[140 143  95],[140 143  95],[208  95 260],[244 260  95],[244 260  95],[244 260  95],143,False,False,False,True,False,False,True,True,False,False,False,False
37,[271  94 232],[ 94 232 271],[271  94 232],[232  94 271],[ 90  91 271],[232  94 198],[198 232 259],[198 232 259],[271  94 232],[271  94 232],[271  94 232],[271  94 232],94,True,True,True,True,False,True,False,False,True,True,True,True
38,[164 259 119],[164 259 119],[164 259 119],[259 199 119],[ 89  90 119],[259 119 164],[164 119 259],[164 119 259],[164 259 119],[164 259 119],[164 259 119],[164 259 119],119,True,True,True,True,True,True,True,True,True,True,True,True
39,[163  57 215],[163  57 215],[163  57 215],[ 90  91 271],[ 91 271  57],[163  57 215],[163  57 215],[163  57 215],[163  57 215],[163  57 215],[163  57 215],[163  57 215],57,True,True,True,False,True,True,True,True,True,True,True,True
40,[ 88  92 215],[ 88  92 215],[ 88  92 215],[90 91 92],[271  90 215],[ 88  92 215],[ 88 215  92],[ 88 215  92],[ 88  92 215],[ 88  92 215],[ 88  92 215],[ 88  92 215],92,True,True,True,True,False,True,True,True,True,True,True,True
41,[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],161,True,True,True,True,True,True,True,True,True,True,True,True
0,[ 10 215 177],[ 56 177 215],[ 10 215 177],[177  56 246],[90 91 84],[ 56 177 215],[ 56 177 215],[ 56 177 215],[ 10 215 177],[ 10 215 177],[ 10 215 177],[ 10 215 177],177,True,True,True,True,False,True,True,True,True,True,True,True
1,[209 177 203],[177 209 203],[161  57 267],[177 167 209],[ 91 271  57],[177 209 203],[177 209 203],[177 209 203],[161  57 267],[209 177 203],[209 177 203],[209 177 203],177,True,True,False,True,False,True,True,True,False,True,True,True
2,[ 67 142  95],[107  67 142],[ 95  67 142],[107 167 142],[271  92 142],[107  67 142],[107  67 142],[107  67 142],[107  67  95],[ 67 142  95],[ 67 142  95],[ 67 142  95],241,False,False,False,False,False,False,False,False,False,False,False,False
3,[ 31 118  24],[118  24  31],[118  24  31],[ 86  61 120],[90 91 86],[118  24  31],[118  24  31],[118  24  31],[118  24  31],[ 31 118  24],[ 31 118  24],[ 31 118  24],118,True,True,True,False,False,True,True,True,True,True,True,True
4,[ 57 105  53],[ 53  57 153],[ 72 105  53],[ 86 173 110],[271  90  53],[ 53  57 153],[ 53  57 153],[ 53  57 153],[ 72 105  53],[ 57 105  53],[ 57 105  53],[ 57 105  53],153,False,True,False,False,False,True,True,True,False,False,False,False
5,[195  17   6],[  6  17 195],[ 17 195   6],[195   6 110],[ 92  87 195],[  6 195 110],[  6  17 195],[  6  17 195],[ 17 195   6],[195  17   6],[195  17   6],[195  17   6],110,False,False,False,True,False,True,False,False,False,False,False,False
6,[184  18   6],[ 84  18 208],[184  18   6],[  6  18 184],[271  91   4],[  6  18 184],[ 84  18 208],[ 84  18 208],[  6  18 184],[184  18   6],[184  18   6],[184  18   6],18,True,True,True,True,False,True,True,True,True,True,True,True
7,[  6 215 105],[105 215 206],[215 206 105],[105 184 206],[271  92   6],[103 184 105],[105 215 206],[105 215 206],[215 206 105],[  6 215 105],[  6 215 105],[  6 215 105],103,False,False,False,False,False,True,False,False,False,False,False,False
8,[ 30  84 215],[ 84  30 215],[ 84 158 215],[158 246  84],[90 91 84],[215 246 158],[ 84  30 215],[ 84  30 215],[ 30 158 215],[ 30  84 215],[ 30  84 215],[ 30  84 215],158,False,False,True,True,False,True,False,False,True,False,False,False
9,[ 57 161 105],[ 84 161  57],[167 161 105],[ 84 105 167],[90 91 84],[161 167 105],[ 84 161  57],[ 84 161  57],[167 161 105],[ 57 161 105],[ 57 161 105],[ 57 161 105],105,True,False,True,True,False,True,False,False,True,True,True,True
10,[154 167  72],[154 167  72],[154 167  72],[154 167  72],[271  92 163],[154 167  72],[154 167  72],[154 167  72],[154 167  72],[154 167  72],[154 167  72],[154 167  72],72,True,True,True,True,False,True,True,True,True,True,True,True
11,[199  61 105],[199  61 105],[199  61 105],[199  61 105],[ 91  90 105],[199  61 105],[199  61 105],[199  61 105],[199  61 105],[199  61 105],[199  61 105],[199  61 105],105,True,True,True,True,True,True,True,True,True,True,True,True
12,[271  72 105],[271  72 105],[271  72 105],[271  72 105],[ 91  90 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],72,True,True,True,True,False,True,True,True,True,True,True,True
13,[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],6,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 28  47 142],[ 28  47 142],[242  47 142],[244 142  47],[271  91 140],[244 142  47],[ 28  47 142],[ 28  47 142],[242  47 142],[ 28  47 142],[ 28  47 142],[ 28  47 142],204,False,False,False,False,False,False,False,False,False,False,False,False
15,[112  53  95],[ 95 126 256],[ 95  53 112],[112 184  94],[271  91  95],[212  94 184],[ 95 112  94],[ 95 126 256],[ 95  53 112],[112  53  95],[112  53  95],[112  53  95],112,True,False,True,True,False,False,True,False,True,True,True,True
16,[ 65 232  67],[232  66  67],[ 65 168  67],[ 67 228 120],[91 92 62],[120  65  67],[ 67 120 228],[232  66  67],[ 65 168  67],[ 65 232  67],[ 65 232  67],[ 65 232  67],65,True,False,True,False,False,True,False,False,True,True,True,True
17,[ 52 220 260],[220 260  28],[260 220  52],[ 6 28 52],[271  92   6],[260 220  52],[ 52 260 220],[220 260  28],[260 220  52],[ 52 220 260],[ 52 220 260],[ 52 220 260],46,False,False,False,False,False,False,False,False,False,False,False,False
18,[ 97 105  95],[105  97  95],[  4 105  95],[ 95 105  86],[271  90  97],[ 95  86 105],[95 97 86],[105  97  95],[  4  95 105],[ 97 105  95],[ 97 105  95],[ 97 105  95],151,False,False,False,False,False,False,False,False,False,False,False,False
19,[107 203 146],[ 28 146 203],[203 107 146],[ 28  12 107],[ 89  90 221],[146  12 107],[203  12 146],[ 28 146 203],[203 107 146],[107 203 146],[107 203 146],[107 203 146],146,True,True,True,False,False,True,True,True,True,True,True,True
20,[206  24  97],[ 97 188  24],[206  24  97],[206  24 182],[90 91 92],[ 82 182  24],[206  24 182],[ 97 188  24],[206  24  97],[206  24  97],[206  24  97],[206  24  97],24,True,True,True,True,False,True,True,True,True,True,True,True
21,[  2  84 103],[191   2  84],[  2  84 103],[103  84 242],[271  91 242],[  2 242 103],[ 84 103 242],[191   2  84],[ 84   2 103],[  2  84 103],[  2  84 103],[  2  84 103],191,False,True,False,False,False,False,False,True,False,False,False,False
22,[244 142  28],[244 142  28],[198  28 142],[ 28 142 244],[271  92 244],[242 244 142],[ 28 142 244],[244 142  28],[198  28 142],[244 142  28],[244 142  28],[244 142  28],4,False,False,False,False,False,False,False,False,False,False,False,False
23,[ 84 184  53],[129  53  84],[ 84 184  53],[ 53  84 184],[271  91 129],[ 53 212 184],[ 84 184  53],[129  53  84],[ 84 184  53],[ 84 184  53],[ 84 184  53],[ 84 184  53],184,True,False,True,True,False,True,True,False,True,True,True,True
24,[163 228 243],[163 228 243],[163 228 243],[ 91 243 228],[ 91  92 243],[163 228 243],[163 243 228],[163 228 243],[163 228 243],[163 228 243],[163 228 243],[163 228 243],123,False,False,False,False,False,False,False,False,False,False,False,False
25,[ 16  28 221],[ 16  28 221],[ 16  28 221],[92 16 28],[ 89  90 221],[ 16  28 221],[ 16  28 221],[ 16  28 221],[ 16  28 221],[ 16  28 221],[ 16  28 221],[ 16  28 221],221,True,True,True,False,True,True,True,True,True,True,True,True
26,[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91 271 262],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],262,False,False,False,False,True,False,False,False,False,False,False,False
27,[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],91,True,True,True,True,True,True,True,True,True,True,True,True
28,[203  67  79],[188  67 203],[203  67  79],[165 173 228],[271  90 259],[165 173  67],[165 173 228],[188  67 203],[203  67  79],[203  67  79],[203  67  79],[203  67  79],79,True,False,True,False,False,False,False,False,True,True,True,True
29,[119 107  80],[ 28 119 271],[271 107  80],[107 119  80],[ 91 270 271],[119 107  80],[107 119  80],[ 28 119 271],[ 28  80 107],[119 107  80],[119 107  80],[119 107  80],195,False,False,False,False,False,False,False,False,False,False,False,False
30,[248  95 146],[ 95 146 248],[248  95 146],[146 248 157],[ 90  91 157],[146 157 103],[248 146 157],[ 84 248  95],[248  95 146],[248  95 146],[248  95 146],[248  95 146],46,False,False,False,False,False,False,False,False,False,False,False,False
31,[203 231  69],[ 69 176 203],[231  52  69],[ 52 165 176],[90 91 69],[176 165  52],[231  69 165],[200  92  89],[231  52  69],[203 231  69],[203 231  69],[203 231  69],69,True,True,True,False,True,False,True,False,True,True,True,True
32,[105  67 220],[220  67 271],[105  67 220],[ 75  67 120],[91 92 77],[ 20  67 105],[220  67 120],[220  67 271],[105  67 220],[105  67 220],[105  67 220],[105  67 220],67,True,True,True,True,False,True,True,True,True,True,True,True
33,[187 224  24],[ 56  24 187],[208 224  24],[ 56 187 157],[271  90  87],[157 187  24],[ 56  24 157],[224  24 143],[208 224  24],[187 224  24],[187 224  24],[187 224  24],56,False,True,False,True,False,False,True,False,False,False,False,False
34,[167 105 107],[167 107 105],[167 105 107],[105 107 167],[ 91  90 105],[167 107 105],[105 107 167],[ 77  92 167],[167 105 107],[167 105 107],[167 105 107],[167 105 107],107,True,True,True,True,False,True,True,False,True,True,True,True
35,[ 46 206 203],[191 206 203],[ 46 206 203],[158 206 203],[90 91 46],[206 203 158],[191 206 203],[206  92 203],[ 46 206 203],[ 46 206 203],[ 46 206 203],[ 46 206 203],191,False,True,False,False,False,False,True,False,False,False,False,False
36,[253 228 188],[253 173 188],[253 228 188],[253 173 228],[ 90  91 188],[188 228 173],[253 173 228],[259 253 188],[253 228 188],[253 228 188],[253 228 188],[253 228 188],173,False,True,False,True,False,True,True,False,False,False,False,False
37,[ 30  28 271],[ 30  28 271],[154  28 271],[199 271  28],[271  91 199],[ 30  28 271],[271  30  28],[271  28 154],[154  28 271],[ 30  28 271],[ 30  28 271],[ 30  28 271],271,True,True,True,True,True,True,True,True,True,True,True,True
38,[208 198  84],[129 208  84],[208  84 198],[ 91 129  84],[271  90 208],[208 198  84],[ 84 208 198],[198 129  84],[ 84 208 198],[208 198  84],[208 198  84],[208 198  84],84,True,True,True,True,False,True,True,True,True,True,True,True
39,[222  52  92],[222  52  92],[222  52  92],[222  52  92],[ 89  90 222],[222  52  92],[222  52  92],[222  52  92],[222  52  92],[222  52  92],[222  52  92],[222  52  92],52,True,True,True,True,False,True,True,True,True,True,True,True
40,[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 91  90 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],4,True,True,True,True,False,True,True,True,True,True,True,True
41,[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],187,True,True,True,True,True,True,True,True,True,True,True,True
0,[150 238 127],[127 238 150],[150 238 127],[ 72 238 150],[ 91 271 262],[127 238 150],[127 238 150],[127 238 150],[150 238 127],[150 238 127],[150 238 127],[150 238 127],127,True,True,True,False,False,True,True,True,True,True,True,True
1,[ 52  93 146],[ 52  26 146],[146  10 267],[ 93  68 244],[ 91 257 271],[ 52  26 146],[ 52  26 146],[ 52  26 146],[ 10 267 146],[ 52  93 146],[ 52  93 146],[ 52  93 146],93,True,False,False,True,False,False,False,False,False,True,True,True
2,[101 238  10],[101 238 187],[187 101 238],[101 238 187],[271  91  22],[101 238 187],[101 238 187],[101 238 187],[214 238 101],[101 238  10],[101 238  10],[101 238  10],168,False,False,False,False,False,False,False,False,False,False,False,False
3,[ 20 260  24],[ 20 260  24],[260  20  24],[ 32  24 157],[91 92 24],[ 20 260  24],[ 20 260  24],[ 20 260  24],[260  20  24],[ 20 260  24],[ 20 260  24],[ 20 260  24],260,True,True,True,False,False,True,True,True,True,True,True,True
4,[167 218 105],[105 218 188],[218 167 105],[105 165 167],[90 91 17],[105 218 188],[105 218 188],[105 218 188],[218 167 105],[167 218 105],[167 218 105],[167 218 105],221,False,False,False,False,False,False,False,False,False,False,False,False
5,[ 17 271  96],[ 17  96 271],[ 20  96 271],[ 20 246  96],[90 91 17],[271  17  22],[ 17  96 271],[ 17  96 271],[ 20  96 271],[ 17 271  96],[ 17 271  96],[ 17 271  96],96,True,True,True,True,False,False,True,True,True,True,True,True
6,[181 205 198],[198 181 205],[198 181 242],[242 181  86],[ 91  92 198],[  4 205 149],[198 181 205],[198 181 205],[205 181 242],[181 205 198],[181 205 198],[181 205 198],198,True,True,True,False,True,False,True,True,False,True,True,True
7,[187  96 231],[231 187  96],[231 244  96],[187 244  96],[271  91  72],[187  72 231],[231 187  96],[231 187  96],[231 244  96],[187  96 231],[187  96 231],[187  96 231],72,False,False,False,False,True,True,False,False,False,False,False,False
8,[161 267 150],[161 267 150],[161 267 150],[149 150 222],[271  90 150],[267 150 149],[161 267 150],[161 267 150],[161 267 150],[161 267 150],[161 267 150],[161 267 150],150,True,True,True,True,True,True,True,True,True,True,True,True
9,[244 267 146],[267 244 146],[267 244 146],[257 244 146],[ 92 271  60],[267 257 146],[267 244 146],[267 244 146],[267 244 146],[244 267 146],[244 267 146],[244 267 146],60,False,False,False,False,True,False,False,False,False,False,False,False
10,[ 98  77 101],[ 98  77 101],[ 98  77 101],[ 98  77 101],[ 90  91 101],[ 98  77 101],[ 98  77 101],[ 98  77 101],[ 98  77 101],[ 98  77 101],[ 98  77 101],[ 98  77 101],87,False,False,False,False,False,False,False,False,False,False,False,False
11,[163  62 222],[222 163  62],[ 62 163 222],[ 88  62 222],[271  92 163],[163 222  62],[222 163  62],[222 163  62],[ 62 163 222],[163  62 222],[163  62 222],[163  62 222],163,True,True,True,False,True,True,True,True,True,True,True,True
12,[271 257 165],[271 257 165],[271 257 165],[271 257 165],[ 91 257 271],[271 257 165],[271 257 165],[271 257 165],[271 257 165],[271 257 165],[271 257 165],[271 257 165],257,True,True,True,True,True,True,True,True,True,True,True,True
13,[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],163,True,True,True,True,True,True,True,True,True,True,True,True
14,[193  95 118],[193 107 118],[ 95 193 118],[ 65 165 167],[ 92  65 271],[268 149  95],[193 107 118],[193 107 118],[ 95 193 118],[193  95 118],[193  95 118],[193  95 118],118,True,True,True,False,False,False,True,True,True,True,True,True
15,[ 28 105 142],[188  28 142],[105 160 142],[157 244 142],[ 91 257 271],[160 188  28],[142 257 160],[188  28 142],[257 160 142],[ 28 105 142],[ 28 105 142],[ 28 105 142],48,False,False,False,False,False,False,False,False,False,False,False,False
16,[167  52 271],[ 56  52 271],[ 52  56 271],[ 12 167 120],[90 91 52],[271 191 154],[191  56 271],[ 56  52 271],[ 52  56 271],[167  52 271],[167  52 271],[167  52 271],25,False,False,False,False,False,False,False,False,False,False,False,False
17,[ 94 265  19],[ 94 265  19],[ 94 265  19],[246 228  94],[91 92 77],[265 259 140],[ 94  77 265],[ 94 265  19],[ 94  19 265],[ 94 265  19],[ 94 265  19],[ 94 265  19],19,True,True,True,False,False,False,False,True,True,True,True,True
18,[218  73 146],[218  73 146],[218 146  73],[146  61   1],[ 89  90 123],[  4  73 146],[ 61 146   4],[218  73 146],[218 146  73],[218  73 146],[218  73 146],[218  73 146],73,True,True,True,False,False,True,False,True,True,True,True,True
19,[206 203 231],[206 231 203],[206 203 231],[203 206 165],[271  90 259],[100 259  89],[206 203 231],[206 231 203],[206 203 231],[206 203 231],[206 203 231],[206 203 231],212,False,False,False,False,False,False,False,False,False,False,False,False
20,[178  94 220],[161 178 220],[178 161 220],[246 178  94],[ 91 271  94],[ 77 220 140],[220  77  94],[161 178 220],[178 161 220],[178  94 220],[178  94 220],[178  94 220],220,True,True,True,False,False,True,True,True,True,True,True,True
21,[229 105  67],[105 244  67],[257 105  67],[229  67 244],[271  92 244],[257  67 229],[ 67 257 244],[105 244  67],[ 72 105  67],[229 105  67],[229 105  67],[229 105  67],72,False,False,False,False,False,False,False,False,True,False,False,False
22,[267 107 156],[267 156 107],[167 107 156],[107 165 167],[ 90 271 149],[156 267 149],[267 156 167],[267 156 107],[167 107 156],[267 107 156],[267 107 156],[267 107 156],107,True,True,True,True,False,False,False,True,True,True,True,True
23,[244  28 161],[244 188  28],[ 28 244 161],[ 28 157 244],[ 92  87 161],[161 188  28],[ 28 161 244],[244 188  28],[188 244 161],[244  28 161],[244  28 161],[244  28 161],161,True,False,True,False,True,True,True,False,True,True,True,True
24,[ 60 167 271],[167  60 271],[167  60 271],[271 167 246],[ 90  91 271],[167  60 271],[ 60 167 271],[167  60 271],[ 60 167 271],[ 60 167 271],[ 60 167 271],[ 60 167 271],60,True,True,True,False,False,True,True,True,True,True,True,True
25,[140 259  77],[140 259  77],[140 259  77],[140 259  77],[271  90 259],[ 77 140 259],[140 259  77],[140 259  77],[140 259  77],[140 259  77],[140 259  77],[140 259  77],77,True,True,True,True,False,True,True,True,True,True,True,True
